Reviews,First Name,Last Name,Avg Difficulty,Avg Rating,Department,Comment,Difficulty Rating,Grade,Clarity Rating,Rating Tags
2559,Amanda,Carey,3.6,4,Languages,Carey was so amazing. I felt like we created a real friendship. She is lovely. I learned a lot from her and she explains clearly.,4,,5,Gives good feedback--Hilarious--Caring
2560,Amanda,Carey,3.6,4,Languages,Assigns a lot of work and very harsh. Not good at explaining concepts. Do not take her class.,3,,1,LOTS OF HOMEWORK
2561,Amanda,Carey,3.6,4,Languages,"She has a high rating from old scores. One of Worst professors I had at Wash U. She is not a native speaker, so her methods of teaching are very rote and do not reflect a natural language speaking/learning environment.  Grades harshly, quizzes and tests were often covered in red.",5,B-,1,
2562,Amanda,Carey,3.6,4,Languages,"Very difficult professor. Assigns a lot of work and multiple assignments per day. She is great at explaining things and makes the topics interesting. However, she is extremely strict and by the book. SHE WILL KILL YOUR GPA. Definitely helps you learn Spanish, but in a world that values grades, it's simply not worth taking her class. Stay away!",5,,4,
2563,Amanda,Carey,3.6,4,Languages,"Carey is an amazing professor! By far my favorite Spanish professor at WashU! You have to go to class and do all homework! If you show that you are dedicated to learning the material and participate in class, she will not only ensure that you have all the tools necessary to understand the material, but to succeed in the class. ",3,,5,
2564,Amanda,Carey,3.6,4,Languages,Very horrible teacher.She does not teach well.,4,,1,
2565,Amanda,Carey,3.6,4,Languages,"Excellent instructor, I highly recommend Amanda's classes. She is fair and an effective teacher.",1,,5,
2566,Amanda,Carey,3.6,4,Languages,"Amanda Carey is such a great Spanish professor.  She is pretty hilarious and makes learning the language fun.  Taking this class with her will greatly improve your writing abilities and you should have a strong grammar foundation afterward.  Also, she's nice, approachable, and caring--I highly recommend her!",3,,5,
2567,Amanda,Carey,3.6,4,Languages,One word--GPA killer.   JUST STAY AWAY.,5,,3,
2568,Amanda,Carey,3.6,4,Languages,"Don't let her sweet smile and good looks get you--this woman will kill your GPA. Yes, she's an effective teacher, but she's also a VERY VERY hard grader--the hardest in the Spanish Department. STAY AWAY.",5,,5,
2569,Amanda,Carey,3.6,4,Languages,"Don't take Carey for 307. Although she teaches well, she's unfair and docks points 4 dumb reasons. 4 example, she docked 20 pts from my friend's 2-page essay just cuz it was 4 lines under. She also subtracts points 4 other trifles, such as having English bosquejos, excess heading, default margins, and other nonsense. She has one of the highest drop",5,,3,
2570,Amanda,Carey,3.6,4,Languages,"Sra Carey is an organized teacher who clearly explains new material. She's also very helpful during office hours. My only complaint is that she's very stern. Do not expect her to adjust the syllabus, give extra time during exams, or accept late work. She's tough, and she won't bend the rules under any cir****stances. Besides that, she's good.",3,,5,
2571,Amanda,Carey,3.6,4,Languages,"Sra Carey is awesome.  She makes sure you understand the material and speaks very clearly.  She makes class fun, has a good sense of humor and understands where the students are coming from.  I suggest trying to get into one of her sections if you're taking any of the classes she teaches.",2,,5,
2572,Amanda,Carey,3.6,4,Languages,Whoever complains about Carey is ridiculous. She's incredibly amiable and actually cares about her students. She gives you advance warning (she gives you the sheet she's going to collect with a due date written on top -- that's the only thing she ever collects) and is pretty fair when it comes to the grading. She rocks!,3,,5,
2573,Amanda,Carey,3.6,4,Languages,"Sra. Carey is an unbelievable teacher. yes, she does collect hw but only a few times and she tells you in advance when she is going to. she is so easy to understand, she is funny, and she relates to students easily. take 307 with Sra. Carey.",3,,5,
2574,Amanda,Carey,3.6,4,Languages,Sra. Carey is extremely helpful and cares much about her subject.  She is a great teacher and wants each of her students to do well.,3,,5,
2575,Amanda,Carey,3.6,4,Languages,"i LOVE sra carey. She's made me love Spanish again. She's ALWAYS available to help you out and is so much fun. i look forward to this class. She isn't hard on the homework like the other person said, the only time she takes up homework is when she gives a blue sheet, so you KNOW she'll take it up. Take this class with Sra Carey!",3,,5,
2576,Amanda,Carey,3.6,4,Languages,"She is one of the few teachers that collects homework and she's real tough grader on particpation, which is worth so much in the class. She actually grades the homework every day while other teachers don't even collect it.",5,,1,
2577,Amanda,Carey,3.6,4,Languages,"Probably the nicest, most organized, and easiest to understand spanish teacher I have ever had.  If only all spanish teachers could be like her the world (of learning spanish) would be a much better place.",3,,5,
2578,Amanda,Carey,3.6,4,Languages,Sra. Carey is very nice and extremely organized. her accent is very easy to understand. definately one of my fav professors.,2,,5,
2579,Amanda,Carey,3.6,4,Languages,"Excellent teacher.  Very Organized, concerned with her students, helpful, cheerful, excited to teach.  Highly Recommended!",2,,5,
2580,Amanda,Carey,3.6,4,Languages,Very nice and always willing to set up apptments with students for office hours if you have trouble with anything.,3,,5,
2581,Amanda,Carey,3.6,4,Languages,"Great teacher, lots of fun!",2,,4,
2582,Amanda,Carey,3.6,4,Languages,"Nice comments, Luz",3,,5,
2583,Amanda,Carey,3.6,4,Languages,"Wonderful professor. Accent easy to understand. Fair grading, even when a certain third group member decides to do nothing and a third of your project is missing.",2,,5,
2584,Maryse,Carlin,2,4,Music,No Comments,3,,3,
2585,Maryse,Carlin,2,4,Music,"I was nervous about continuing piano lessons at the college level because of not having enough time to devote to it, but Prof. Carlin is not intimidating and it a very nice, understanding lady.  She expects practice, but not like 5 hours a day or anything crazy.  Very helpful without being condescending.",1,,5,
2586,Anders,Carlsson,3.3,3.1,Physics,"A very sweet old man but barely skims what will be on the exams. If you have the choice, take Hynes or Medeiros. He barely does practice problems and often gets tripped up doing his own problems. Really enjoys going on tangents toward his research however none of that will ever be on a quiz or exam. ",4,A,3,Clear grading criteria--Lecture heavy--Accessible outside class
2587,Anders,Carlsson,3.3,3.1,Physics,"Sweet man, with good intentions. Can leave out important points during lecture and moves quickly. Have to self teach yourself A LOT through the textbook. He is great in office hours, very patient and his tests are def doable. Unlike Physics 117 he does not spend all of lecture deriving equations from calculus,but instead tries to focus on concepts.",3,A,2,
2588,Anders,Carlsson,3.3,3.1,Physics,"Well-meaning, earnest professor who is always open to questions and seems interested in the material. Unfortunately, he simply does not explain concepts very well and skips over important points that students will just have to teach to themselves in the textbook. Often teaches with back to classroom simply deriving formulas without explanation.",4,,2,
2589,Anders,Carlsson,3.3,3.1,Physics,"Professor Carlsson explains everything perfectly clearly, and always reviews the previous day's lecture in class. So each class starts off simple, and then makes some serious headway into the material all while seeming disarmingly easy. Very high skilled professor.",3,B-,5,
2590,Anders,Carlsson,3.3,3.1,Physics,"He made the lectures interesting, and he is really enthusiastic about experiments.  GO TO CLASS and TAKE THE QUIZZES and it's not that hard.  His explanations were more...intuitive and less algebra-heavy than others - suggested for non engineers : D",2,,4,
2591,Anders,Carlsson,3.3,3.1,Physics,No Comments,3,,1,
2592,Taylor,Carlson,4,4,Sociology,Young and a little overwhelmed but good at spotting students who are struggling.  No easy marks.,4,,5,
2593,Bruce,Carlson,3.4,4,Psychology,I was one of Bruce Carlson's first students back in the 1980s. He was one of the best professors I ever had and was instrumental in my getting the training I needed to become a statistician.,3,A,5,Gives good feedback--Respected--Accessible outside class
2594,Bruce,Carlson,3.4,4,Psychology,"Bruce was my grad advisor in the mid-90s. I just wrote an email to him tonight some 25 years later to thank him for being my advisor. Yeah, 25+ years later. Hes that good. He cares _that_ much. Take a class from Bruce and youll be challenged, for sure. Is it worth the effort? Absolutely. One of the best ever.",3,A,5,Gives good feedback--Respected--ACCESSIBLE OUTSIDE CLASS
2595,Bruce,Carlson,3.4,4,Psychology,"This was easily the most work I've done in a class in my undergrad career. Dr. Carlson gives you lots of resources to help you succeed and he is an excellent lecturer, but there is a lot of material. He's always available if you need extra help, but you'll need to put in a decent amount of work for this class.",5,A,5,TEST HEAVY
2596,Bruce,Carlson,3.4,4,Psychology,"Very, VERY hard class. Highly recommend not taking this course unless you are going into any type of research or have any interest in going to grad school. The take-home SPSS exams are stressful and time consuming. He posts all of his previous years exams on Blackboard which is helpful to study from. Bruce is a great guy, but his class is hard.",4,B,3,Respected--Skip class? You won't pass.--GRADED BY FEW THINGS
2597,Bruce,Carlson,3.4,4,Psychology,"I took 321 with Bruce and did very well in the class, so he let me take 622 the next quarter with the grad students. Bruce is the BEST professor I've had. He is incredibly helpful in all of his classes, and is a great go-to for information regarding graduate school. Very nice guy and a great prof.",4,,4,
2598,Bruce,Carlson,3.4,4,Psychology,I had Dr. Carlson for two statistics classes. He is a intelligent and funny guy. He is busy (running the Psych department) but he is kind and will help. Best prof I had at OU.,5,,4,
2599,Bruce,Carlson,3.4,4,Psychology,Bruce is good but exhibits somewhat crazy characteristics sometimes. He could be vague and vain for no apparent cause; picky often. It's a love-hate perception of him.,1,,3,
2600,Bruce,Carlson,3.4,4,Psychology,"hard class, excellent professor- he's very enthusiastic about teaching. important class to take if you want to go to grad school and he'll do everything possible to help you. don't be scared to ask questions, he'll help you out as much as you need! don't need a textbook.",4,,5,
2601,Bruce,Carlson,3.4,4,Psychology,"The professor teaches this course at a 2nd year graduate level, not to mention expects that you learned way more than you did in Psy 221. Gives lots of examples to clarify that seem to be helpful, however his tests become close to impossible as the quarter goes on. Don't take this class.",5,,2,
2602,Bruce,Carlson,3.4,4,Psychology,"Very nice class, easy to write the large paper he requires. Only one very easy test/midterm. Overall easy and interesting, but does require a bit of work.",3,,4,
2603,Bruce,Carlson,3.4,4,Psychology,"This class is a lot of work, but if you do it, not too difficult.  Carlson is to the point and you learn a lot in this class.",2,,4,
2604,Bruce,Carlson,3.4,4,Psychology,"If you want to be prepared for graduate school in Psychology then take this man. If you want to be a lazy bum and not do anything and not learn anything about conducting research then don't take him because he will make you work, but you will learn a lot and get a good grade if you do the work.",3,,5,
2605,Bruce,Carlson,3.4,4,Psychology,He is very helpful and gives you plenty of time and instruction. Not bad at all.,3,,5,
2606,Bruce,Carlson,3.4,4,Psychology,Said that the Einsatzgruppen was &quot;funny.&quot;,3,,1,
2607,Bruce,Carlson,3.4,4,Psychology,I hate math.  But Bruce did a good job of making the material understandable.  He always took questions and tried to clarify any problems someone had.  Tests were not unreasonable- he even provided the formulas needed.  Recommended.,2,,4,
2608,Flora,Cassen,2.3,3.3,History,Professor Cassen is extremely helpful and kind. She is extremely knowledgeable about European history and Jewish studies and you will learn a lot from her. She is also a very fair grader and does not require you to do any difficult homework and there are zero pop quizzes.,2,,5,
2609,Flora,Cassen,2.3,3.3,History,Her accent is cool and really not that bad. She's a decent lecturer. She gives helpful IDs before the finals and if you study them with flash cards its really not hard. She's a very reasonable essay and test grader. The readings aren't very relevant but it may be useful on discussion days.,2,,2,
2610,Flora,Cassen,2.3,3.3,History,No Comments,4,,3,
2611,Flora,Cassen,2.3,3.3,History,While her accent takes some getting used to it also requires students to listen more to what is being said.  I enjoyed her class and hope to take another with her in the future.  The midterm required a lot of memorizing but was graded fairly.  Overall an interesting teacher to have if you need to take a history course.,2,,2,
2612,Flora,Cassen,2.3,3.3,History,"Great teacher, you get used to her accent.  Papers are really easy for a 100 level course (3 3-5 page papers).  She grades super easy.",2,,4,
2613,Flora,Cassen,2.3,3.3,History,Very young and doesn't have timing down yet. Tests are very extensive and long and you'll be pressed for time. Overall she's cool but the lectures can lag. She's also kind of hot which is unusual for UVM professors. I got an A- in the class for not doing a whole lot for it. Freshman will struggle though,2,,3,
2614,Flora,Cassen,2.3,3.3,History,She's a very engaging lecturer who is very knowledgeable and passionate about her subject. She is the best professor I've had so far at UVM. You get used to her accent.,2,,3,
2615,David,Carter,2.9,3.1,Political Science,"Class is very easy to get an A in. Lectures are very boring, but knowledgeable, so if your interests are in IR, you won't notice time fly by. He's a big music guy, so he plays songs connected to what we are learning in class. The assignments sound time consuming, but they are graded very very easy.",1,A,4,Clear grading criteria--Respected--Lecture heavy
2616,David,Carter,2.9,3.1,Political Science,"After reading other reviews for Professor Carter and taking International Politics I can attest that the other reviews are pretty accurate. He is a clear lecturer, but his class is mainly lecturing and note taking. If you have a basic understanding of international law, norms, and bodies (U.N) then you should be OK. ",2,A,3,Clear grading criteria--Lecture heavy
2617,David,Carter,2.9,3.1,Political Science,"Very knowledgeable and passionate about IR but is an extremely dry lecturer. The class is insanely easy. If you do the bare minimum, you will come out with an A.",1,A,2,
2618,David,Carter,2.9,3.1,Political Science,"Very boring and long lectures where Carter goes off on unrelated tangents. He's clearly very knowledgeable about IR, but this class is just painfully boring and easy. Would not recommend taking it unless you are absolutely fascinated by IR.",1,A,2,
2619,David,Carter,2.9,3.1,Political Science,"Carter is certainly very knowledgable of international politics, but his lectures are not very engaging at all. He often goes off topic or talks about things that are not related to the material, making it a tough class to pay attention. Despite this, the grading is not too harsh and the quizzes and assessments are generally pretty easy.",2,A,3,Lots of homework--Lecture heavy
2620,David,Carter,2.9,3.1,Political Science,"Very dry lectures, but an easy intro class. I disliked the Eurocentric approach to the textbook, but Prof Carter acknowledged this on the first day of class. I think you can get away without reading the textbook, if you go to class and review the slides. The concepts aren't difficult to grasp. ",2,A,3,Lecture heavy--Graded by few things
2621,David,Carter,2.9,3.1,Political Science,"Pretty much the entire course is lectures with take-home quizzes that are easy enough. A bit of a dry lecturer, but if you find the material interesting, you'll be engaged enough. ",2,Not sure yet,4,Lecture heavy
2622,David,Carter,2.9,3.1,Political Science,"The lectures do not help, it is a course based entirely on the textbooks and there is little guidance. ",5,Not sure yet,1,Get ready to read
2623,David,Carter,2.9,3.1,Political Science,"This is a class that is heavily dependent on the effort that you put in (not that you need to put in much effort). Professor Carter is a slide-reader and does not seem super enthusiastic, so lectures are tiring (and the slides are posted online). Finals was open book, so you barely need to keep up with the readings. ",1,A,2,
2624,David,Carter,2.9,3.1,Political Science,"The class is generally easy, but the lectures are rather dry. I stopped going to class around half way through the course and did just fine by reading the textbooks. Grading criteria for the memos are inconsistent. The final was open book. ",2,A,2,Get ready to read--EXTRA CREDIT--Lecture heavy
2625,David,Carter,2.9,3.1,Political Science,Carter is a very very dry lecturer. Can rely pretty heavily on just the textbook and pdf slides without attending lectures and still receive a good grade.  I would not take this class again. ,2,A,2,Get ready to read--Lecture heavy
2626,David,Carter,2.9,3.1,Political Science,"The class is easy if you keep up with the textbook readings and lectures (readings can be a bit long though). However, Professor Carter isn't very engaging, and it is hard to keep paying attention. It also takes forever to get grades back for the papers (usually given back a day before the next one was due). Overall class isn't bad but is boring.",2,,3,Get ready to read
2627,David,Carter,2.9,3.1,Political Science,"Terrible professor do not take. While is brilliant and highly knowledgable about the subject he teaches, he is not cut out for teaching. His lectures are boring and consist of reading off of slides.",2,A,1,
2628,David,Carter,2.9,3.1,Political Science,"Really smart guy, and I think I would really like smaller classes with him. In terms of lecture, he's just not the greatest at it. Very well informed especially on IR, but if you want to take his lecture classes they're pretty mid. He's just not super engaging with an audience of 300 people.",4,,2,Get ready to read--Respected--Graded by few things
2629,David,Carter,2.9,3.1,Political Science,Have taken 2 classes with Carter and enjoyed both. He's a bit of a slow lecturer but he tries to keep it engaging. He's at his best when he leads interactive discussions. Also very knowledgeable about international subjects,2,A,5,Get ready to read--Graded by few things
2630,David,Carter,2.9,3.1,Political Science,"Professor Carter was a solid choice for International Politics, explaining the course expectations well. Quizzes are rough early in the semester, but once you understand the style after the first few, they get much easier. Professor Carter will grant extensions for the short papers throughout the semester as well. Attendance policy is very relaxed.",2,A+,4,Clear grading criteria--Lecture heavy
2631,David,Carter,2.9,3.1,Political Science,Professor Carter makes an effort to engage with students and answer questions during lectures. The material in the lectures is very interesting but sometimes presented in a monotone form which can make it boring to sit through. There is not a lot of homework besides reading the textbook chapters and completing 3-4 two page essays over the semester.,3,Not sure yet,4,Graded by few things--Lecture heavy
2632,David,Carter,2.9,3.1,Political Science,"Professor Carter is a good teacher, and you will definitely learn a lot if you take him. There is quite a bit of reading, but nothing too crazy Papers are not too bad, and he is a pretty easy grader. He can tend to be a bit dry in lecture, so make sure the class you take with him you are actually interested in, otherwise, you might be bored.",2,A,4,Get ready to read
2633,David,Carter,2.9,3.1,Political Science,"While the class structure and grading system are decent enough, Carter's lectures were quite boring to sit through. He seems knowledgeable enough about the subject, but you could tell that he didn't seem too interest in engaging with students beyond what was required of him.",4,Not sure yet,3,Lecture heavy
2634,David,Carter,2.9,3.1,Political Science,"Prof Carter is passionate about the subject he teaches, but his lectures come across as pretty dry. They were honestly hard to sit through. Not very engaging.",3,,2,
2635,David,Carter,2.9,3.1,Political Science,"Explains concepts clearly, but can do a little more to engage the students.",3,,4,Graded by few things
2636,David,Carter,2.9,3.1,Political Science,"Carter knows his stuff but his lectures are rather dry and offer little beyond what most professors or online materials can explain about IR topics. It was very difficult to know his expectations with essays and tests. There wasn't much indication that he was interested in getting to know students personally, so going to office hours might not help",3,A-,3,TEST HEAVY--GRADED BY FEW THINGS--LECTURE HEAVY
2637,Brian,Carpenter,3,5,Psychology,"There were three professors teaching the course. When he lectured, he always did a good job engaging me in a long two hour class. The essays contain significant weight in the class so make sure to get ahead on those. Overall, it's a fun and interactive class that was made even more fun by Dr. Carpenter.",3,A-,5,Amazing lectures --Caring--Graded by few things
2638,Brian,Carpenter,3,5,Psychology,"I think this class overall is good if you are interested in psychology but all around Carpenter is a good presenter so I think even more for his part, he is good at making class engaging and interactive with so many students. ",2,A,4,
2639,Brian,Carpenter,3,5,Psychology,"Professor Carpenter is the kindest, kindest professor I've ever had. He is so understanding and genuinely cares about you. He is this and also HILARIOUS! Very hip, very cool. Love him. Would 1000% take another course with him. ",3,A+,5,Gives good feedback--Caring--Online Savvy
2640,Brian,Carpenter,3,5,Psychology,"Very fun and engaging professor! His lectures are clear and easy to follow, and he keeps you engaged through the use of videos and demonstrations. He also answers the Piazza clearly and consistently. His quizzes are written well but can be a bit confusing at times. However, he is overall a great professor who is truly passionate about the course.",2,,5,
2641,Brian,Carpenter,3,5,Psychology,"I want to pick up minor in psych after taking this course with Dr. Carpenter. The lectures were really well done and clear. If you've never taken a psych class, I'd say taking thorough notes during lecture and for the reading makes it much easier to succeed in the class. Dr. Carpenter is a really funny, caring teacher that I'd highly recommend!",2,A,5,Respected--Amazing lectures--Caring
2642,Brian,Carpenter,3,5,Psychology,"Gives really interesting lectures. For intro to psych as long as you take notes you'll be fine. No homework, no tests, just online quizzes every other week which aren't very difficult.",2,A,5,Respected
2643,Brian,Carpenter,3,5,Psychology,"I loved his lectures! they were always very fun and engaging. Of the 3 professors in Intro to Psych, he had the weirdest combination of topics, but he did such a great job with the content. He was such an amazing professor and his quiz questions were generally straightforward. 10/10 amazing professor.",2,,5,Respected--Amazing lectures--Caring
2644,Brian,Carpenter,3,5,Psychology,LOVED him! He was so engaging and made class fun. He even plays a song at the beginning of every class. Very knowledgeable and you can just tell that he loves what he does. I hope to have him again at WashU.,3,,5,Respected--Inspirational--Hilarious
2645,Brian,Carpenter,3,5,Psychology,"Best professor ever and super relatable to Gen Z. Teaches concepts using his own personal experiences. Because of him, I want to get a Psychology minor. Plays music before class and has explanations for several quiz questions that many people in the class got wrong. Clear quizzes and corrects his errors to make quizzes fairer for everyone.",2,A,5,Respected--Clear grading criteria--Hilarious
2646,Brian,Carpenter,3,5,Psychology,"Out of the three professors for psych, he was the best. He makes the lectures very enjoyable and keeps everyone engaged.",3,,5,Hilarious--Amazing lectures--Caring
2647,Brian,Carpenter,3,5,Psychology,"Professor Carpenter's lectures are long but pretty interesting. The quizzes during his unit were the hardest because they were so subjective and the wording was confusing. However, I like his teaching style and how he goes out of his way to explain things using real-life examples.",2,A,3,Caring
2648,Brian,Carpenter,3,5,Psychology,Had Carpenter for 100B and FYP123 and was great. FYP123 had no quizzes and so it was easy to do well in the class. Lectures were good for 100B,2,,5,Caring
2649,Brian,Carpenter,3,5,Psychology,"Out of the 3 profs for Psych 100B, his lectures are the longest with most unneeded information. Although he might be a nice person, his quiz questions are very subjective (really depends on how you look at the question), making it really difficult to secure an A because the cutoffs for the course are so high.",3,A,1,
2650,Brian,Carpenter,3,5,Psychology,"Professor Carpenter is very kind and gives the most interesting lectures! He has been gracious to accommodate the students during COVID by changing quiz dates, etc.",3,,5,Respected--Amazing lectures--Caring
2651,Brian,Carpenter,3,5,Psychology,"Out of the three professors for psych 100, he was by far my favorite! The way he teaches is very engaging and Carpenter himself is a well rounded professor. He went out of his way to teach us emotions through art! He also used other real life examples and applied them to lectures. Loved his part of the class! He really listens to students as well.",3,B+,5,Get ready to read--Amazing lectures--Caring
2652,Brian,Carpenter,3,5,Psychology,"Prof. Carpenter is seriously the best. Loved this freshman seminar SO MUCH! Class got a bit boring at time when the other profs lectured, but when Dr. Carpenter lectured I was always engaged. Definitely have to show up to do well, but there are no exams (all short papers/projects) and not difficult to do well if you put in a small amount of effort.",1,A+,5,Respected--Skip class? You won't pass.--Group projects
2653,Brian,Carpenter,3,5,Psychology,I always genuinely looked forward to going to his class. He is easily the most engaging and entertaining professor I've had so far. He taught the second of three Intro Psych sections and I wish he taught the whole course!,3,,5,Respected--Amazing lectures--Caring
2654,Brian,Carpenter,3,5,Psychology,He's a really good lecturer. Highly recommend.,2,,5,Respected--Hilarious--Amazing lectures
2655,Brian,Carpenter,3,5,Psychology,"Dr. Carpenter is one of my favorite professors at WashU. He works to ensure the success of students and starts class with a song. He is hilarious and brings a positive energy to the room. I would 100% recommend taking a class with him at some point, he's amazing!!",3,B,5,Inspirational--Hilarious--Amazing lectures
2656,Brian,Carpenter,3,5,Psychology,"Carpenter taught the second of 3 sections in Intro Psych (consciousness, dev. psych, abnormal psych). His lectures were so fun and engaging! He made the material very enjoyable and his exam was very fair. Basically, if you regularly show up and take decent notes you'll be fine!",2,A,5,Respected--GRADED BY FEW THINGS--Amazing lectures
2657,Brian,Carpenter,3,5,Psychology,"Professor Carpenter is hands down my favorite professor at WashU. Definitely take intro to Psych with him if you can! His lectures are engaging, informative, and clear. After taking 100B, I also started working in his lab and he's just such a genuine and caring person in general.",3,,5,Inspirational--Hilarious--Amazing lectures
2658,Brian,Carpenter,3,5,Psychology,"Would definitely recommend taking his class. He's a wonderful professor and seems like a lovely person too. He's great at delivering interesting and exciting lectures, so you won't be bored in class!",3,,5,Respected--Amazing lectures--Caring
2659,Brian,Carpenter,3,5,Psychology,"Amazing lecture. but he said that the work he checked by plagramme plagiarism checker. Keep in mind all , because it is very serious about plagiarism.",4,,5,
2660,Brian,Carpenter,3,5,Psychology,Guys awesome ,4,A-,5,
2661,Brian,Carpenter,3,5,Psychology,"Lectures are interesting and he works hard to make the boring psych info seem appealing, but he writes his own tests and so help you God if you don't pay attention to everything he says it will screw you on the exams. Pay attention and go to class",4,,4,
2662,Brian,Carpenter,3,5,Psychology,AMAZING LECTURES! Love this guy so much - see him on campus all the time and he's super approachable! The lectures are fun and the info sticks. One thing: the tests are hard!,3,C,5,
2663,Brian,Carpenter,3,5,Psychology,"Professor Carpenter is an amazing amount of fun and somehow squeezes in a ton of information in a way that sticks with you. He really teaches, instead of just getting students past the tests.",2,,5,
2664,Brian,Carpenter,3,5,Psychology,Is a clear and funny lecturer; and is accessible and approachable outside of class. Seems nice and fair enough.,3,,5,
2665,Brian,Carpenter,3,5,Psychology,"This is by far the best professor I have had at WashU yet. His class was my favorite, it was extremely entertaining and interesting. I reccomend taking this with him. But it is NOT an easy A, I studied really hard for the exams but you can only get 3 wrong and still get an A. So I ended up taking the course Pass/Fail so it wouldn't hurt my GPA.",4,,5,
2666,Brian,Carpenter,3,5,Psychology,"Carpenter is hands-down my absolute favorite professor so far. Possibly the funniest lecturer ever, and just a very laid-back, cool guy who will get to know your name and wave at you outside of class. Take any class from him that you can; trust me, his lectures will be the highlight of your week!",2,,5,
2667,Brian,Carpenter,3,5,Psychology,"Carpenter's section of Intro Psych is very entertaining, and he is an amazing professor; however, he can be a rather intense grader, especially because he only gives one extra credit point out of 206 points.    Take him if you want to learn; take the three-prof class if you want not to have to attend class and still get an A.",4,,5,
2668,Brian,Carpenter,3,5,Psychology,"Carpenter is one of my favorite professors. He always has well-prepared, entertaining lectures, and takes the time to learn people's names and answer their questions (in a 200 person class). He really cares about his students and his subject. Take any class he teaches!",2,,5,
2669,Brian,Carpenter,3,5,Psychology,"Amazing prof! best, most engaging teacher I've ever encountered! I will undoubtedly look for more classes taugh by brian!",3,,5,
2670,Brian,Carpenter,3,5,Psychology,"Nice and helpful prof. One of the best lecturers I have had and planned out the semester extremely well.  I wasn't really interested in older adults before taking the class, but Carpenter made the material interesting.  Make sure you are willing to participate in class discussions.",3,,5,
2671,Brian,Carpenter,3,5,Psychology,"One of the best, nicest, laid back, down to earth professors I have had. I usually dislike my psych professors because they are arrogant, distant, and hard to relate to; but, Carpenter is the opposite. He is also very funny and likes pop culture and his students.",2,,5,
2672,Brian,Carpenter,3,5,Psychology,really interested in the topic --makes him a great teacher. also a really nice man.,3,,5,
2673,Brian,Carpenter,3,5,Psychology,"hilarious and creative in his lectures, makes you never want to miss class, the best lecturer ive ever had",3,,5,
2674,Brian,Carpenter,3,5,Psychology,No Comments,3,,5,
2675,Brian,Carpenter,3,5,Psychology,Hilarious and interesting.  Great guy; I highly recommend his courses.,1,,5,
2676,Brian,Carpenter,3,5,Psychology,"Prof Carpenter rocks my world.  If I could, I'd propose to him right now (I wonder if he looks at this site&#63;)  He is so very very awesome, and def take him if you can.",3,,5,
2677,Brian,Carpenter,3,5,Psychology,"BRIAN CARPENTER IS MY HERO!!!  I absolutely love him.  He's a great teacher, and really funny.  He makes this big lecture class so fun and interesting.  I get mad when I have to miss class becasue i don't want to miss something funny he might say.  Take a class from him...he's AMAZING!",3,,5,
2678,Brian,Carpenter,3,5,Psychology,"Carpenter single-handedly made Intro to Psych a wonderful class. It was my favorite class to attend this past semester--and I'm in the Engineering school!  Don't take Intro to Psych with anyone else!  He is very well organized, knows the material, and makes the lectures humorous and informative.",3,,5,
2679,Brian,Carpenter,3,5,Psychology,"A very interesting, and kind-hearted guy. He makes his lectures very structured and clear, but adds variety and humor to make each class worth going to. The tests aren't super easy, but they are very straight forward.",3,,5,
2680,Brian,Carpenter,3,5,Psychology,No Comments,3,,5,
2681,Brian,Carpenter,3,5,Psychology,Carpenter keeps class really interesting and plans out the semester well.,3,,5,
2682,Brian,Carpenter,3,5,Psychology,Great class. Incredibly personable and sincerely interested in his students. Learned a lot and had a great time in the process.,4,,5,
2683,Brian,Carpenter,3,5,Psychology,LOVED THIS CLASS!!!!!  It was so interesting and really opened my eyes to the complexity and specialness of the elderly.,3,,5,
2684,Brian,Carpenter,3,5,Psychology,"I really enjoyed Dr. Carpenter and the class, Social Gerontology. Dr. Carpenter is extremely nice, very funny, caring, highly intelligent, and overall a wonderful guy. I highly recommend him.",2,,5,
2685,Heidi,Chambers,3,4.5,Languages,"Best Spanish teacher I have ever had! Sra Chambers is so kind and enthusiastic, and her classes are engaging and relaxed. She gives personalized feedback to all of her students and teaches at a good pace.",1,A+,5,Clear grading criteria--Gives good feedback--Caring
2686,Heidi,Chambers,3,4.5,Languages,"This class was way better than high school Spanish. Lectures are uncommon, and there is a test or paper due most weeks, but that helped me learn a lot faster and made each test less stressful. There's some homework too, but it was never too much of a problem to get through. Sra Chambers is nice and likes accepting feedback. Overall I learned a lot.",3,A,4,Test heavy
2687,Heidi,Chambers,3,4.5,Languages,She's the best and most engaging professor that I've had at WashU. She really cares about her students and makes sure that you understand each topic.,4,A-,5,Respected--Inspirational--Caring
2688,Heidi,Chambers,3,4.5,Languages,"Professor Chambers was always very nice in class and made the content relatable to students.  When I went to her during office hours she was a little distant and hard to talk to.  The material was quite difficult, but the class was well structured.  More resources to study and practice off of would have been nice.",4,,2,Tough Grader--Skip class? You won't pass.--ACCESSIBLE OUTSIDE CLASS
2689,Heidi,Chambers,3,4.5,Languages,"Prof Chambers is really sweet, kind, and understanding. She makes spanish interesting with jokes and stories about her own life, and prompts other people to speak with encouragement. Class was always interesting and grammar was not difficult to learn. Its honestly the best spanish class I've ever had, so I highly recommend.",3,,5,Participation matters--Skip class? You won't pass.--ACCESSIBLE OUTSIDE CLASS
